id,login_name,nick_name,name,phone_num,email,user_level,birthday,gender,create_time,operate_time,start_date,end_date,dt
24,wa9xx1o52,青倩,689161d7ee461cdf0738af894b3acf5b,a45426eafa4cd777ac9d222e7651a8b1,37f6e846857136c099515955f7cc0ec3,1,1977-06-10,,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
25,mw4mavmouvkd,阿榕,607c4d25af6c4631f91b25a818c7eb79,11f67acdd442b514e7140a6b9f71f325,331fa5c76d20b4cfbe18dd4e89219442,2,1999-06-10,M,2020-06-10 11:05:16,2020-06-14 14:54:51,2020-06-14,9999-12-31,9999-12-31
26,jcbr7ld,霄霄,84b9c7ceedae45fec1a102d2bba43094,d46c860982d6ae02009ab6f0785087f5,eb257d0a4b7c14da4e1ece65778c44ee,1,1998-05-10,F,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
27,0al0uvhu,奇固,45d50eb20b292f04274f96fa24e97281,ff70895f41fa5b6d368a3d3beb4291a3,5dd554455dfdb9b44262f7cc1fe392b7,1,1972-12-10,,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
28,bhkkxeoxlj54,露瑶,787da555b01a3c48487071f120979618,6776798e6443f49cbfb25f827c6a63bf,5247f24ffdf302bf2ade151246e88c81,1,1982-08-10,F,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
29,93q3qor1i8,阿飞,093ce151ce96196135c7a5b2577fc318,ff1178e9e31ce0e525e71861242ec414,2b995083eafa01483bd64cd2339b4afa,3,1972-03-10,M,2020-06-10 11:05:16,2020-06-15 11:08:50,2020-06-14,9999-12-31,9999-12-31
30,wmb6y6i,真环,8ce3f0cefe2b7e26441a171366dd2d6d,48bcd7de374a59c1d06884ed411607ea,9331eaa52a0142bbdc15e3853057d930,1,1968-02-10,,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
31,2gb8kky,平保,34cfd7ff464268186b6236d6f7312454,d451082194d481aad74a1668277e8d12,eb842567900d07edeb32d8f83464f076,1,1975-10-10,M,2020-06-10 11:05:16,2020-06-14 14:40:40,2020-06-14,9999-12-31,9999-12-31
32,dabhxh5,毓悦,f973a0ad7f97531a0e6dd9310237e50c,3bfebcc7e7b95104ee8afbe6c0c137d3,4728c3e83efccd32cc936172d974cc17,2,1966-04-10,F,2020-06-10 11:05:16,2020-06-14 14:54:51,2020-06-14,9999-12-31,9999-12-31
33,7sjys1,阿庆,1d796ddd7bad37714bb710e6f0f6cacb,1f0fc7fa610e46f83c794fe1cdde7eca,7ad4263d7f51d8f7801646483d65f6c9,3,1991-02-10,,2020-06-10 11:05:16,2020-06-15 11:08:50,2020-06-14,9999-12-31,9999-12-31
34,5gp69f,荷荷,37255c755b83ecaa9376ab1d5b6dc135,14bdaf0d7bcfc2d705d7151e5cee655b,3186cd672ba99550c1ed6ccb1878c37e,1,1996-03-10,F,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
35,ziah7v8excl,阿力,0f9f4a70c4f61718c29ba224b4f658f0,7d73878ed2876e5d4306be2555e9d9b1,48668eb896b0dce7865746275ca020cb,1,1976-04-10,M,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
36,krlnc1e090,影影,3a131222bca83bed00fa9c177b714aae,d5f37770616c0c38002ea551f6e3f7e6,9175c40875e95161b6d8cb2a7ff89330,1,1985-01-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
37,hy8e5zq1tdh,毅俊,3b9dfcaa7ebb6fca918213b12802dd65,419da0aec3e8d3bd60b5e817917e6d91,fda8af8e7b64498cfa356de8ade224f5,2,1985-10-10,M,2020-06-10 11:05:16,2020-06-14 14:42:04,2020-06-14,9999-12-31,9999-12-31
38,gvxog4w81,希宁,94905b336d4e088a38eef3f088f64bb0,1be5efcd1688f83dca796470a59a3b1d,191d85b5cb354d3a802b10b7c65815bb,3,2002-02-10,F,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
39,524ic3fqz9ai,阿武,b395e2775b17c4463debe932b1ecca71,0abfa4588aa7eadeb80b0aadcd132bb1,f168cba27401b589f450f72e98eba028,1,1981-04-10,,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
40,ek0c7c,眉君,4464d7cbb87aa57702049b8c95d2faab,e974278784c4d2d6ce5fd4e695b5f8fc,f7d4c6f560a38e980af213deedd293e5,1,1984-05-10,F,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
41,s11kjipr2bax,阿晨,e9c50a64314d59ec3f83f71ca9ec9579,6545bbee4b227d093600bf8cdde4fcab,5073a02be03499fedd65b6040c0bc3ca,1,1995-12-10,M,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
42,z3if4qebz3,珊珊,438d5a453301e9d9373f221d0241e106,dab71cb8f00974faab74fa26a8431446,90c0666d3e74c2bad6df137831384ef4,2,1969-05-10,,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
43,yi8aqo20,乐绍,542c3649d8b3ea2807e5abfc0cc58b2e,8eb093a1e1bf288e1dcedd64f00a878a,02d7f7348f106412675cc03bba8474dd,1,1966-05-10,M,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
44,htkobphq,莉桂,9f02ea55b7336a023601291d3e23c87b,9835fbac0447bbcf8384d81018401647,d388865f6290dcb8436a38db378d4494,1,1983-06-10,F,2020-06-10 11:05:16,2020-06-14 11:08:29,2020-06-14,9999-12-31,9999-12-31
45,dch1i440d6lo,勇毅,61f72e398e4a30c13ea08fdc5e81bb8d,03f821164ff131017e7d7bbc7de6c7fc,f8321eda6bd0a1405d9fcd52783df29c,1,1994-11-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
46,mgrcblbfb2,纯纯,df9519d50d8b963125e74ef1b55c3b38,88dd73aee7128c4f9f7793c455824b4f,3b24ba7268d03702a0a9c97ecfb620f9,1,1999-09-10,F,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
47,z95e0cvg,阿昌,d6a4135b1deaf405672450f60a5bc8a6,19933ece7f4a4ea3f0d7f1698d1ceff7,e1de513ad4ad4ab7980ce87aa1c71a12,2,1977-12-10,M,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
48,syrtc26bet,蓉蓉,f86cadb9b28a10e9ec93ea3606b882ff,ee42c330fd401d4f0d535e14a9523ef3,17ce664c7bd808b6efc28f3bdd8333f6,1,1971-09-10,,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
49,kyxic95e,生龙,827e51f6de4ba5f250182606c6d0a09c,6a9f01506d5424db81749cb50db4a261,e4fd2985344a5f7d7a4586d00d056429,1,1992-09-10,M,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
50,n7fyxsxqs,枝思,b6088984ce52d602e75d95b9f2ecea8a,bff5872dc99eac1e975e04c7f6866774,c8a4c5c7c4eb39391a00a151be254ca8,2,1993-06-10,F,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
51,tupir7,阿生,6f56dbeca6bd28ace06cafc7af57cd8a,6873f1f0d19280a554ae0c05c979266b,fc5f0dcafe245fef519d4fc3713ef25e,1,1982-12-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
52,e2usjksa,瑶怡,2cdf637ca0a1f362507d01332dfcf9aa,f5d1c138ff94de4abb94338837682456,f096a1eb73cb035afac23624a007d3ce,1,1986-11-10,F,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
53,nigsev2,壮会,65f18873d8eabe6bafe975548f1cbf58,801f0c38ab9566eae69ae7aec9e4d724,5b633d2d1922963122b4b053b7332322,3,2001-05-10,M,2020-06-10 11:05:16,2020-06-15 11:08:50,2020-06-14,9999-12-31,9999-12-31
54,dmtd10z,倩婷,b3cdf8d94196394f7ba23da000efc789,f0d9bd8bf424fbd84eb3ad2c573f0690,7f10f882e8200dfa119c232928ff25b3,2,1976-01-10,,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
55,jr6666yu8,和彪,1b67d875aadb283add5ba61873999a75,31091aa6c9382e0a3b61183a93633c48,5af6975581b3c214e2e8de6ea8896c89,2,2002-05-10,M,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
56,z3wh8e6,莺莺,bf4aec6b0750658e8481ad0680048c56,5d876b69367419565220467130daa4ef,53281aaba98c5e713a11fbe031acd7f6,2,1979-09-10,F,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
57,vsywn9y5ds,阿世,92b119b90a8df3add5b9964fcefb8d6c,4a7638e8a8394423bdd9b8c6ab99f5a5,2cf1af3905d81440632c1b177109c711,1,2001-11-10,,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
58,s0gffphk5d,珍贞,00e8bb7e00c78eb589e32df202c0d49a,025086735d0e2bcaece813042f6ec9e1,e5c9b14dba5e9f18e200c372f3236b4e,1,1966-05-10,F,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
59,1orh53,阿志,8f24c7797fdb9ffc1bb2f8f09d2a6ee1,6a616c07f35d18ad2e841fc587c44db8,3bb44050cf4fa730120333b2a40ed127,3,1973-09-10,M,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
60,y0xpe1d4f,云莲,7f0028ca73b4b2f14a0e2039e75ccbb5,959a4b4d8619c8b98d93304f651665c2,27f281bb70ee20807652e4c192c22041,3,1996-12-10,,2020-06-10 11:05:16,2020-06-14 14:40:40,2020-06-14,9999-12-31,9999-12-31
61,67v5mned,才发,b42fa8c060e3ee29b2eaf86e1f0d336c,1dee7d33f005a31f41d381197bd80746,83ae349125aca54a3bf279dfaeb2c4a9,2,1999-05-10,M,2020-06-10 11:05:16,2020-06-14 14:42:04,2020-06-14,9999-12-31,9999-12-31
62,j0m6o7m76,雅芝,bdb02e8487fac8c1d6dea9fe04fcbbbf,5af5206eacd0095ace12252ac9e0ef1e,7983b2c8abed66a9aafe2e52c278ec54,3,1969-10-10,F,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
63,pxtiw3cpo4n,翔旭,7ed7ee9ea7f6d98dc56d5a0d59cc4e20,16add824e270ac1b045684d11229d791,60f86a477856ce11429363ae1aaf6687,1,1967-07-10,,2020-06-10 11:05:16,2020-06-14 14:40:40,2020-06-14,9999-12-31,9999-12-31
64,nezr8smx5auv,韶涵,e1bb6e3dd0628cd8fd9e173687948266,74e2be5605895f1ca6f1cc42c44ae6aa,973acbd6c25797761582c0c6c9327499,1,1984-10-10,F,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
65,hf89msbrr54y,涛昌,bb34c625730a62eea7331991927417ea,fe70eb08d50486958d0568e58f557809,42c7439370ab4f1c61d448d13ac91942,1,1971-07-10,M,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
66,sigd6bduo4h9,羽羽,5c887b23e6d4a367e4fd0e34e661b2f8,262a1b9b71802b2455055aa9531c21a7,6429241aa7b40cf68a521bdcab4e054d,3,1975-09-10,,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
67,dgyxbzegl,东文,45d682d1abf694b8f0be3dc9ee25aad3,91168736eed928d64bfd6f6135a95fac,a1feed4af7540ad01e4b43f8f0c420ca,2,1993-03-10,M,2020-06-10 11:05:16,2020-06-15 11:08:50,2020-06-14,9999-12-31,9999-12-31
68,s5z6h8r99f,宁欣,0fa023db4e7bbf733b8d1073a31d5434,53bafc0550a89d47b0864cada9d38c47,2afca4d58b1be48a86f525717262237c,1,1979-01-10,F,2020-06-10 11:05:16,2020-06-11 11:07:27,2020-06-14,9999-12-31,9999-12-31
69,0y69c1ffqmb,阿飞,9da2a34abeba1fabb3ca62d958fdf0de,1768b0fc8ecb309c44a040924fca3343,4dbe0bebb5b0d4b950c3788042d2862a,1,1992-08-10,,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
70,v7pg9ag68,慧慧,a77a6c9182de7cab0b637e0e40ff36ed,7085303257c4f200d088e7faf92cca4d,f571763cb3b70a85a80284fc2195acb9,1,1997-07-10,F,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
71,f3cdxv1dg,新利,919e8231b186a8fdcc2465d9288fd55a,5feaf156add781b3c88b09c91c121949,aeb069ef372bd6ad0fbed6e5fa9f7c0d,1,2004-07-10,M,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
72,jkrpj1jyjxuv,爱爱,7c16781d48d2c9f941bea3eca17041ce,63b0a8a469ff49ee7b97a7f4e97a62de,f1efd6ece708aca7af163e38199a8804,1,1970-04-10,,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
73,9zz9ifu,克伦,e409fbf441565d0dbd08f4790996c730,845a1b49a809eab602c980b65a5a8370,0f1ebb8ae9420237f01cd1364e62671e,1,1968-08-10,M,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
74,2f9bi6t90,香香,43237b2fa1835c4c1624c89fcdd79f48,3e5ca1c79f36bf1b5918c39ff156b8b4,f6db048711f08ec5d01cc343bac8d171,1,1990-06-10,F,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
75,f9iplnt6k,阿茂,0ed9c1b016720ece3c3b7349d671afdf,034f796c51fe1617ce451a1a6609099a,8e7f6957a80d18c508d9f2345d0e3e8e,1,1981-02-10,,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
76,g2en9kln8,萍萍,de009976ae8aa0c60bbc07ba71fe8a36,ad30189f39a2db238db67d134684a635,94b50c2f4486ec9ad9d7b7d8ea718e45,2,1986-10-10,F,2020-06-10 11:05:16,2020-06-14 14:42:04,2020-06-14,9999-12-31,9999-12-31
77,vr27ty8,承乐,0d07e81dbfb756dc513ce4536de6f5ff,6e2eba4bfbe4423e0d20e300f110ac4e,c6f2fb72d41ede0ba3754c347a2aace9,1,1983-09-10,M,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
78,zcy5ar,雁蓓,069be60fe7852ea63d2c3fa5eadd7c92,b0443563ece1c42fc06c5be2fdae5650,e493689098e3f7df6b8a79dce5f2e9da,2,1974-05-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
79,7sky4howi,栋维,ac3dc8864abcfe59531d8e84e239fedb,9886048f591e81d9f3d90c23d2643dc8,b49b3903fc52f86f918fb135b0a44ece,1,1969-08-10,M,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
80,6r2n9r6j68,茗茗,72a450670dd72fea5419186d7c2fb2f1,c561dc9cab2a61ea55d833458292a083,90a3da1b29514508fd16eb001f916bc1,1,1988-12-10,F,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
81,igybvw,阿敬,495a92be154407f2b1d7e6a377338f35,180058c7ab984d89101312c217ac40a0,5e64f4bba6f7f8d987c1c51de5703ca8,1,2004-05-10,,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
82,zq0e9iuo7u1e,伊亚,5d44fe55652377e106beb643d1a4592d,c0a741fce7ee942d4e55d6e44ff4cecc,320e24f3958e8328ae263d60b19cea2b,1,1993-08-10,F,2020-06-10 11:05:16,2020-06-11 11:07:27,2020-06-14,9999-12-31,9999-12-31
83,3yp2w83h,阿泰,6f603782e34aa3e6c3772620da463d49,e07787f503ad137a2d52331f848f21eb,5c4e4ac3f787e14efd8f6cbcb4b5ccd8,3,1998-02-10,M,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
84,tasjr3yr,霞霞,fd109a38ea3855b823cdea1ea3b71056,72994c0c3c42f8c03935daafd31da459,23b93b2d91872afc33c0968d65126e31,1,1984-02-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
85,rmwdze,震振,354f657322f8dbdf666da10e1f3620f3,ee813739ff5893df978ee416d5c062a2,21ff9d167caed86a3c9df24d0767ede5,2,2005-05-10,M,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
86,pvo4tn,霞香,e11c6e431df3795836ec9f0d0bce5dc1,ab2b92595cfb2f17c1381dbcc9414d54,2f0e201169040f9c03e596b290edd428,1,1967-02-10,F,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
87,ztbdtyn9,阿志,290d59071f42c4a2bb14969395988e7b,271f80e06576e7fd638eadd2188f5b64,4f7dffffe4db1a631eb3dac27e16e89e,1,1970-01-10,,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
88,uejjj2a3fctf,思思,ce29b58ec213c6f27b0c8db5e079da11,5895d787a06f3d990d65f7f32ccc6e32,fd7b0f2e19a54e93d27c5d8b851348d5,1,1996-10-10,F,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
89,twzl5h,阿永,8d9471f95ebedb5800c5e159adbe782e,98e2641ba3ba4c7384160f6f4fbb618c,fd45df5853c044741d73ae476b6e5108,1,1981-08-10,M,2020-06-10 11:05:16,2020-06-14 14:40:40,2020-06-14,9999-12-31,9999-12-31
90,n2furyeuu,馨馨,e8966e8b23e7f74577f6e26a645d7e49,ba80d2b550a4baa4185d3a5307219d87,0108812a36379c23b3540502e3f65f47,1,2004-03-10,,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
91,sd38zjvbv,乐绍,a8ff29b1c32263c5df4006feac41d062,2a47693243b56a3f15c8e4a6f6d329ed,d4a4ebabd0ec280806f5618582973323,1,1997-07-10,M,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
92,w6lcsbge4,颖颖,2bb04b18055b3a15b4672988c296d7c3,98e3061ce862f684ec5332421d101c0c,70c589adba21b075be8d4f98dd552f31,1,1984-07-10,F,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
93,59x4d9i,斌梁,476ebe7b39786706043e037685e8c700,3d05f8584542e220a2bc08d14e9d309a,3e40e14655242295e7610aadc43c27c5,1,1991-02-10,,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
94,yl1tl35c4up3,竹霭,0477c21be65447bac7a547c1081ffc4a,d6219a3d16b5fe0815a266b3386d3349,7c864b1b737ab3ec53601ad927d62d32,1,2003-01-10,F,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
95,xj2e5rkbyjdr,阿松,9953989f775b5f47e9016e0872e8b001,6b4b18d2622d8df4ac7c2d0be2b18e15,1bf0a3b5000ba2913c70bc2a430737f6,2,1994-06-10,M,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
96,y9cfxfm5l,岚艺,c09c7e2eaea046548f235b40f9240eda,6bd7459489caca6ac09dbafea80f7801,55398b94f1cdee1e5430571d00b650cf,3,1991-01-10,,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
97,hax6h7adkay,星光,40b433664acfca98de9264b25bbcf96e,ecead0e982c215151fe1b35af8d351e2,502da09b9d85b8551a5fe27771b13c9b,1,1976-07-10,M,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
98,vcjgru0du,韶涵,81dbd023bda4ecb8881563431c492098,588e566eccc57ef4d27f68f255153442,8a5ed00683e54c3d4e567d919d05abec,1,1965-09-10,F,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
99,6kss2t,峰强,4a3869a86ec8f092538e9640e790e098,1900bbcfe312309e45da1da256484f63,adc9b125e456f70738a2a7c24e257f6b,1,1974-10-10,,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
100,71vqjddbwx,翠翠,f9cccf8d84f089e7f13f578ab2279d29,7bd257c0a281798ddc8d672714064630,b0817defb72159ec6e0c3b38f108841b,1,1974-01-10,F,2020-06-10 11:05:16,2020-06-14 14:54:51,2020-06-14,9999-12-31,9999-12-31
